PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
321,35.5952359,137.0954703,-1.4,-235.488,-132.818,7,5337,71,93
322,35.5952326,137.0954703,-1.4,-236.488,-132.802,7,5337,71,93
323,35.5952294,137.0954704,-1.4,-237.488,-132.786,7,5337,71,93
324,35.5952262,137.0954704,-1.4,-238.488,-132.77,7,5337,71,93
325,35.5952229,137.0954705,-1.4,-239.488,-132.754,7,5337,71,93
326,35.5952197,137.0954706,-1.4,-240.488,-132.738,7,5337,71,93
327,35.5952164,137.0954706,-1.4,-241.488,-132.722,7,5337,71,93
328,35.5952132,137.0954707,-1.4,-242.488,-132.706,7,5337,71,93
329,35.5952099,137.0954708,-1.4,-243.488,-132.69,7,5337,71,93
330,35.5952067,137.0954708,-1.4,-244.488,-132.674,7,5337,71,93
331,35.5952034,137.0954709,-1.4,-245.488,-132.658,7,5337,71,93
332,35.5952002,137.095471,-1.4,-246.488,-132.642,7,5337,71,93
333,35.595197,137.095471,-1.4,-247.488,-132.626,7,5337,71,93
334,35.5951913,137.0954712,-1.4,-249.245,-132.579,7,5337,71,93
335,35.5951905,137.0954711,-1.4,-249.488,-132.594,7,5337,71,93
336,35.5951872,137.0954712,-1.4,-250.488,-132.578,7,5337,71,93
337,35.595184,137.0954713,-1.4,-251.488,-132.562,7,5337,71,93
338,35.5951807,137.0954713,-1.4,-252.488,-132.546,7,5337,71,93
339,35.5951775,137.0954714,-1.4,-253.488,-132.53,7,5337,71,93
340,35.5951742,137.0954715,-1.4,-254.488,-132.514,7,5337,71,93
341,35.595171,137.0954715,-1.4,-255.488,-132.498,7,5337,71,93
342,35.5951678,137.0954716,-1.4,-256.488,-132.482,7,5337,71,93
343,35.5951645,137.0954717,-1.4,-257.488,-132.466,7,5337,71,93
344,35.5951613,137.0954717,-1.4,-258.488,-132.45,7,5337,71,93
345,35.595158,137.0954718,-1.4,-259.488,-132.434,7,5337,71,93
346,35.5951548,137.0954719,-1.4,-260.488,-132.418,7,5337,71,93
347,35.5951515,137.0954719,-1.4,-261.488,-132.402,7,5337,71,93
348,35.5951483,137.095472,-1.4,-262.488,-132.386,7,5337,71,93
349,35.595145,137.095472,-1.4,-263.488,-132.37,7,5337,71,93
350,35.5951418,137.0954721,-1.4,-264.488,-132.354,7,5337,71,93
351,35.5951396,137.0954722,-1.4,-265.177,-132.343,7,5337,71,93
352,35.5951331,137.0954723,-1.4,-267.177,-132.295,7,5337,71,93
353,35.5951298,137.0954724,-1.4,-268.177,-132.271,7,5337,71,93
354,35.5951266,137.0954725,-1.4,-269.177,-132.247,7,5337,71,93
355,35.5951233,137.0954726,-1.4,-270.177,-132.223,7,5337,71,93
356,35.5951201,137.0954727,-1.4,-271.177,-132.199,7,5337,71,93
357,35.5951168,137.0954728,-1.4,-272.177,-132.175,7,5337,71,93
358,35.5951136,137.0954729,-1.4,-273.177,-132.151,7,5337,71,93
359,35.5951104,137.095473,-1.4,-274.177,-132.127,7,5337,71,93
360,35.5951071,137.0954731,-1.4,-275.177,-132.103,7,5337,71,93
361,35.5951039,137.0954732,-1.4,-276.177,-132.079,7,5337,71,93
362,35.5951006,137.0954733,-1.4,-277.177,-132.055,7,5337,71,93
363,35.5950974,137.0954734,-1.4,-278.177,-132.031,7,5337,71,93
364,35.5950941,137.0954735,-1.4,-279.177,-132.007,7,5337,71,93
365,35.5950909,137.0954736,-1.4,-280.177,-131.983,7,5337,71,93
366,35.5950876,137.0954737,-1.4,-281.177,-131.959,7,5337,71,93
367,35.5950844,137.0954738,-1.4,-282.177,-131.935,7,5337,71,93
368,35.5950812,137.0954739,-1.4,-283.177,-131.911,7,5337,71,93
369,35.5950779,137.095474,-1.4,-284.177,-131.887,7,5337,71,93
370,35.5950747,137.0954741,-1.4,-285.177,-131.863,7,5337,71,93
371,35.5950714,137.0954742,-1.4,-286.177,-131.839,7,5337,71,93
372,35.5950682,137.0954743,-1.4,-287.177,-131.815,7,5337,71,93
373,35.5950649,137.0954744,-1.4,-288.177,-131.791,7,5337,71,93
374,35.5950617,137.0954745,-1.4,-289.177,-131.767,7,5337,71,93
375,35.5950584,137.0954745,-1.4,-290.177,-131.743,7,5337,71,93
376,35.5950552,137.0954746,-1.4,-291.177,-131.719,7,5337,71,93
377,35.595052,137.0954744,-1.4,-292.177,-131.627,7,5337,71,93
378,35.5950487,137.0954748,-1.4,-293.183,-131.538,7,5337,71,93
